time,latitude,longitude,depth,magnitude,place
1606661307981,-5.0092,102.93,55.23,5.2,"114 km SSW of Pagar Alam, Indonesia"
1606640495283,-14.7607,167.2454,108.59,5.6,"36 km NNE of Port-Olry, Vanuatu"
1606594524871,-17.427,66.123,10.0,5.4,Mauritius - Reunion region
1606568987299,-55.5739,-124.937,10.0,5.3,southern East Pacific Rise
1606536304623,-55.5268,-29.8418,10.0,5.0,South Sandwich Islands region
1606510855451,-22.457,-12.7238,10.0,5.1,southern Mid-Atlantic Ridge
1606502710215,49.997,156.371,52.26,5.3,"77 km SSE of Severo-Kuril’sk, Russia"
1606410226200,-39.4567,46.2083,10.0,5.2,Southwest Indian Ridge
1606365756692,-4.6163,144.8251,53.95,5.1,"104 km SE of Angoram, Papua New Guinea"
1606365695767,-20.037,169.1388,77.57,5.1,"56 km SSW of Isangel, Vanuatu"
1606362465151,-4.6423,144.9188,35.0,5.4,"114 km SE of Angoram, Papua New Guinea"
1606344964101,-61.913,154.9182,10.0,5.9,Balleny Islands region
1606343862962,-41.1242,-90.3987,10.0,5.7,southeast of Easter Island
1606317634174,1.897,127.4291,108.92,5.0,"67 km WNW of Tobelo, Indonesia"
1606256330722,-16.8323,174.3728,10.0,5.0,Fiji region
1606255378090,-8.9759,67.5822,10.0,5.5,Mid-Indian Ridge
1606236717337,25.5167,142.6883,10.0,5.0,"Volcano Islands, Japan region"
1606226855584,-22.1758,-176.1842,64.76,5.2,"150 km SW of Vaini, Tonga"
1606176027457,13.7662,145.6449,85.09,5.2,"85 km ENE of Yigo Village, Guam"
1606044446446,-2.6552,127.4963,10.0,5.3,"138 km NNW of Ambon, Indonesia"
1606039553849,36.5889,141.1105,33.0,5.5,"37 km ESE of Takahagi, Japan"
1606022317429,-16.7489,174.4645,10.0,5.5,Fiji region
1606017188474,36.6442,6.8625,10.0,5.1,"24 km WSW of Azzaba, Algeria"
1606006496794,-34.5978,-73.0596,22.0,6.1,"100 km NW of Constitución, Chile"
1605924708221,-30.9181,-71.4511,51.0,5.5,"42 km SW of Ovalle, Chile"
1605914197740,-21.3851,169.0369,10.0,5.3,"121 km E of Tadine, New Caledonia"
1605902626142,-11.5043,167.3002,10.0,5.1,Santa Cruz Islands
1605890498308,-2.7692,128.7604,10.0,5.0,"Ceram Sea, Indonesia"
1605842355484,-53.9402,140.6723,10.0,5.7,west of Macquarie Island
1605797440087,-23.3659,-179.7385,532.46,5.0,south of the Fiji Islands
1605674515825,-1.8125,100.4271,15.62,5.2,"95 km S of Padang, Indonesia"
1605661245231,32.1835,137.8951,366.31,5.1,"247 km SE of Shing?, Japan"
1605651727136,-15.0212,167.8683,10.0,5.1,"85 km E of Port-Olry, Vanuatu"
1605577451421,-2.6706,99.3227,19.0,6.0,"222 km SSW of Padang, Indonesia"
1605566722404,-6.962,155.7366,33.0,5.5,"76 km SSE of Panguna, Papua New Guinea"
1605539292931,27.6078,129.934,10.0,5.1,"95 km SSE of Naze, Japan"
1605534136784,-10.9231,164.396,10.0,5.1,"154 km W of Lata, Solomon Islands"
1605479863690,8.7572,126.2914,43.0,6.0,"5 km S of Marihatag, Philippines"
1605443595076,-24.1244,-67.5284,141.29,5.3,"123 km W of San Antonio de los Cobres, Argentina"
1605422114716,11.8301,124.2432,20.88,5.0,"21 km ESE of Limbuhan, Philippines"
1605350355697,-27.7324,74.1059,10.0,5.2,Mid-Indian Ridge
1605343826186,23.6092,94.6188,103.66,5.0,"22 km E of Mawlaik, Myanmar"
1605336153865,-19.5831,168.8591,40.0,5.4,"44 km W of Isangel, Vanuatu"
1605322615620,30.3659,67.435,12.04,5.5,"16 km SSW of Alik Ghund, Pakistan"
1605294253456,22.3829,-107.7985,11.85,5.3,"171 km WSW of Mazatlán, Mexico"
1605292387130,5.7913,95.5619,10.0,5.1,"29 km ESE of Sabang, Indonesia"
1605258831862,38.1693,-117.8533,4.8,5.3,"33 km SE of Mina, Nevada"
1605258763850,-53.1621,160.0486,10.0,5.7,Macquarie Island region
1605242144089,-49.5875,117.3583,10.0,5.2,western Indian-Antarctic Ridge
1605208788173,4.1129,122.724,573.59,5.1,"230 km SSE of Tabiauan, Philippines"
1605165505893,10.2155,126.0501,47.71,5.3,"21 km N of Santa Monica, Philippines"
1605130407361,21.6473,121.8442,10.0,5.0,"120 km ESE of Hengchun, Taiwan"
1605071876078,25.4713,142.75,10.0,5.7,"Volcano Islands, Japan region"
1605066854890,41.6751,20.7949,10.0,5.0,"11 km SSW of Vrutok, North Macedonia"
1605055724122,-19.7177,-177.561,417.0,6.0,"291 km WNW of Haveluloto, Tonga"
1605019237433,38.9261,70.6139,35.0,5.0,"23 km ESE of Rasht, Tajikistan"
1604973109999,12.1984,140.3037,10.0,5.2,"270 km N of Fais, Micronesia"
1604940333300,-3.7866,153.3454,217.0,5.4,"134 km ENE of Kokopo, Papua New Guinea"
1604817074536,0.9936,-28.2474,10.0,5.3,central Mid-Atlantic Ridge
1604795943272,-11.5972,165.0159,11.57,5.3,"128 km SW of Lata, Solomon Islands"
1604784644700,32.3486,141.6979,9.28,5.2,"Izu Islands, Japan region"
1604751792021,61.52,-149.9144,41.5,5.1,"2 km E of Big Lake, Alaska"
1604741225498,-15.2458,-173.5276,34.0,6.2,"83 km NNE of Hihifo, Tonga"
1604711432071,25.71,143.6051,16.0,5.8,"Volcano Islands, Japan region"
1604706559160,-62.2342,-58.1924,12.33,5.9,South Shetland Islands
1604683014730,40.9265,143.3621,21.0,5.2,"164 km ENE of Hachinohe, Japan"
1604654224530,40.915,143.2374,10.0,5.0,"153 km ENE of Hachinohe, Japan"
1604652998063,40.9903,143.255,12.0,5.5,"157 km ENE of Hachinohe, Japan"
1604613422749,-6.5928,146.971,19.15,5.1,"14 km N of Lae, Papua New Guinea"
1604580991664,54.1358,-159.7659,16.73,5.1,"141 km SSE of Sand Point, Alaska"
1604528509702,-7.3061,106.1567,39.99,5.2,"56 km SW of Pelabuhanratu, Indonesia"
1604514468797,10.0607,126.0084,55.88,5.0,"5 km NW of Santa Monica, Philippines"
1604492922280,-35.5799,-104.0024,10.0,5.3,southeast of Easter Island
1604453729823,-55.7988,-26.9,17.06,5.1,South Sandwich Islands region
1604391536633,-19.9889,-177.464,388.0,5.7,"267 km WNW of Haveluloto, Tonga"
1604371254919,-44.4111,-79.375,10.0,6.0,"Off the coast of Aisen, Chile"
1604340118822,-3.4262,131.1283,12.22,5.3,"245 km E of Amahai, Indonesia"
1604206869032,10.0129,-84.0616,72.07,5.1,"2 km NNW of Ángeles, Costa Rica"
1604202200342,-7.0719,129.2407,182.0,5.7,"294 km ENE of Lospalos, Timor Leste"
1604178243782,-55.734,-27.1091,19.69,5.1,South Sandwich Islands region
1604139326312,-22.1234,-179.1797,549.49,5.1,south of the Fiji Islands
1604130100706,-62.338,-58.2311,10.0,5.2,South Shetland Islands
1604101605663,71.4672,-3.3066,10.0,5.3,"203 km ENE of Olonkinbyen, Svalbard and Jan Mayen"
1604098607691,71.5432,-3.2896,10.0,5.6,"206 km ENE of Olonkinbyen, Svalbard and Jan Mayen"
1604082281629,-10.1704,-75.1714,36.0,5.5,"51 km NNE of Oxapampa, Peru"
1604080903014,-5.6042,142.2062,23.27,5.1,"86 km WNW of Tari, Papua New Guinea"
1604070895887,37.8319,26.8222,10.0,5.3,"8 km NW of Kokkári, Greece"
1604058687348,37.8973,26.7838,21.0,7.0,"13 km NNE of Néon Karlovásion, Greece"
1604056210978,-8.8203,161.0406,20.0,5.5,"38 km E of Auki, Solomon Islands"
1604052899127,-25.8462,179.3371,518.58,5.2,south of the Fiji Islands
1604047121148,10.6312,-43.5286,10.0,5.9,northern Mid-Atlantic Ridge
1604032588610,54.5046,-159.6855,24.77,5.1,"106 km SSE of Sand Point, Alaska"
1604025261986,-20.8413,-178.5491,574.74,5.3,Fiji region
1603997126883,-18.2249,-174.6326,78.7,5.0,"83 km NW of Neiafu, Tonga"
1603957252171,-62.463,-58.3247,10.0,5.0,South Shetland Islands
1603954966335,-62.2427,-58.2131,10.0,5.1,South Shetland Islands
1603922888620,-29.7627,-111.6407,10.0,5.4,Easter Island region
1603922423095,-62.3222,-58.1832,10.0,5.4,South Shetland Islands
1603897931258,-23.8129,69.2597,10.0,5.0,Mid-Indian Ridge
1603896791368,-29.3186,-71.2397,50.0,5.8,"64 km N of La Serena, Chile"
1603894376449,-14.4548,167.415,180.0,5.8,"65 km SSW of Sola, Vanuatu"
1603887921128,-63.5536,-156.5067,10.0,5.4,Pacific-Antarctic Ridge
1603886565725,-62.9004,-157.8369,10.0,5.3,Pacific-Antarctic Ridge
1603876139891,-0.2149,124.4602,47.46,5.3,"173 km SSW of Tomohon, Indonesia"
1603875753508,-14.9365,-75.7131,22.0,5.6,"60 km WSW of Changuillo, Peru"
1603860752177,-34.8887,-71.6926,57.62,5.5,"34 km W of Rauco, Chile"
1603858422061,53.2019,-173.4156,239.67,5.5,"123 km NNE of Atka, Alaska"
1603827832656,-2.2318,119.079,22.0,5.4,"54 km NNE of Mamuju, Indonesia"
1603748091220,32.1448,56.0268,10.0,5.0,"84 km NE of B?fq, Iran"
1603700796420,0.5373,121.5452,99.85,5.1,"168 km W of Gorontalo, Indonesia"
1603681130550,-6.3974,154.2702,10.0,5.0,"134 km W of Panguna, Papua New Guinea"
1603669391009,-56.7013,-141.6486,10.0,5.5,Pacific-Antarctic Ridge
1603660634828,-20.0026,-70.9641,10.0,5.3,"88 km WNW of Iquique, Chile"
1603630078915,14.765,-92.5894,67.22,5.1,"18 km SW of Buenos Aires, Mexico"
1603626457759,-15.3631,-173.424,39.0,5.9,"76 km NNE of Hihifo, Tonga"
1603623887939,-10.2653,161.5296,83.74,5.1,"47 km WNW of Kirakira, Solomon Islands"
1603587405775,-7.9934,107.9821,43.0,5.4,"72 km SSW of Kawalu, Indonesia"
1603539257923,35.7462,48.9355,10.0,5.0,"51 km SSW of Abhar, Iran"
1603536019182,-62.392,-58.3181,10.0,5.0,South Shetland Islands
1603479645737,-14.9877,167.1204,108.48,5.2,"7 km NE of Port-Olry, Vanuatu"
1603470595557,-27.5866,-67.2969,123.4,5.0,"21 km NW of Londres, Argentina"
1603469172704,-62.1607,-57.9088,10.0,5.0,South Shetland Islands
1603436670940,-25.634,-179.9621,454.0,6.1,south of the Fiji Islands
1603419547568,19.9558,-45.7931,10.0,5.0,northern Mid-Atlantic Ridge
1603417577720,-36.3799,-97.1088,10.0,5.9,West Chile Rise
1603413215321,19.9939,-45.8446,10.0,5.4,northern Mid-Atlantic Ridge
1603407992836,52.7083,-35.0029,10.0,5.0,Reykjanes Ridge
1603355047383,-20.826,-176.6209,244.0,5.8,"150 km WNW of Haveluloto, Tonga"
1603335817538,31.9456,104.235,10.0,5.3,"49 km WNW of Jiangyou, China"
1603321254450,37.3185,20.5134,9.85,5.2,"52 km SSW of Lithakiá, Greece"
1603271586593,-25.5231,-70.9323,20.0,5.7,"46 km WSW of Taltal, Chile"
1603254067015,-56.1681,-143.565,10.0,5.4,Pacific-Antarctic Ridge
1603253087150,31.9179,104.2275,10.0,5.2,"49 km WNW of Jiangyou, China"
1603245626397,-62.3153,-58.3144,12.37,5.2,South Shetland Islands
1603243073535,54.2757,-159.6278,18.86,5.1,"130 km SSE of Sand Point, Alaska"
1603239754155,-19.3323,-172.3327,10.0,5.9,"189 km ESE of Neiafu, Tonga"
1603220270571,-19.372,-173.9881,10.0,5.0,"62 km NE of Pangai, Tonga"
1603201397460,64.0134,-22.1508,10.0,5.6,"11 km SW of Álftanes, Iceland"
1603200002517,17.9617,146.2487,99.63,5.2,"Alamagan region, Northern Mariana Islands"
1603197132143,54.3624,-159.7745,22.0,5.1,"118 km SSE of Sand Point, Alaska"
1603166826904,54.2743,-159.6399,12.82,5.6,"130 km SSE of Sand Point, Alaska"
1603143925327,54.3371,-159.8425,20.77,5.9,"118 km SSE of Sand Point, Alaska"
1603143923823,54.1535,-159.5619,30.6,5.9,"144 km SSE of Sand Point, Alaska"
1603143278252,54.4563,-159.6198,27.07,5.1,"113 km SSE of Sand Point, Alaska"
1603143141891,54.3886,-159.8241,26.62,5.5,"114 km SSE of Sand Point, Alaska"
1603142548672,54.3536,-159.8541,22.6,5.2,"116 km SSE of Sand Point, Alaska"
1603142054693,54.3415,-159.5688,16.83,5.0,"125 km SSE of Sand Point, Alaska"
1603141580397,54.5073,-159.729,26.24,5.7,"104 km SSE of Sand Point, Alaska"
1603141557335,54.4386,-159.6143,22.74,5.7,"114 km SSE of Sand Point, Alaska"
1603140878950,54.602,-159.6258,28.37,7.6,"99 km SE of Sand Point, Alaska"
1603116717710,-7.1522,126.6203,370.52,5.2,"147 km N of Baukau, Timor Leste"
1603100573479,-3.3354,100.3183,19.29,5.1,"185 km SW of Sungai Penuh, Indonesia"
1603100332645,2.8873,96.3169,35.0,5.1,"45 km N of Sinabang, Indonesia"
1603093641835,-3.3848,100.3604,17.03,5.5,"186 km SW of Sungai Penuh, Indonesia"
1603092690626,-3.3684,100.2706,20.0,5.6,"191 km SW of Sungai Penuh, Indonesia"
1603061330249,-3.4021,100.2732,10.0,5.1,"193 km SW of Sungai Penuh, Indonesia"
1603014151395,-16.6228,-177.2779,10.0,5.1,"270 km SSE of Alo, Wallis and Futuna"
1603004308688,-3.9177,-81.8157,8.0,5.5,"76 km WNW of El Alto, Peru"
1602979511076,-62.3472,-58.3987,10.0,5.2,South Shetland Islands
1602957383873,-3.2733,100.4042,10.0,5.2,"173 km SW of Sungai Penuh, Indonesia"
1602957300713,-3.2572,100.3043,23.44,5.2,"179 km SW of Sungai Penuh, Indonesia"
1602931760339,-54.5812,-133.0296,10.0,5.5,Pacific-Antarctic Ridge
1602910085155,45.3713,150.0234,60.4,5.2,"169 km E of Kuril’sk, Russia"
1602894961203,-3.3215,100.2724,10.0,5.1,"187 km SW of Sungai Penuh, Indonesia"
1602878787481,13.6785,120.2608,62.32,5.4,"4 km SSE of Looc, Philippines"
1602806903443,8.1144,-37.9705,10.0,5.1,central Mid-Atlantic Ridge
1602754876989,-3.1911,100.3854,19.0,5.2,"168 km SW of Sungai Penuh, Indonesia"
1602745218798,-31.2695,-177.7261,10.0,5.1,Kermadec Islands region
1602689318024,-10.1624,66.2964,10.0,5.0,Mid-Indian Ridge
1602581392638,13.9738,56.9359,10.0,5.4,Socotra region
1602536576355,-16.4785,-70.9327,129.45,5.0,"11 km SW of Ubinas, Peru"
1602482815814,14.5717,-91.7423,100.9,5.1,"3 km SSW of El Asintal, Guatemala"
1602476253721,14.6726,-93.7508,10.0,5.0,"106 km SW of La Esperanza (El Zapotal), Mexico"
1602476067168,14.5482,-93.5454,10.0,5.5,"107 km SSW of La Esperanza (El Zapotal), Mexico"
1602476033429,14.8318,-93.6423,18.0,5.6,"85 km SW of La Esperanza (El Zapotal), Mexico"
1602475887566,35.6445,26.2467,10.0,5.2,"49 km N of Palekastro, Greece"
1602462639934,35.5856,26.2443,10.0,5.1,"43 km N of Palekastro, Greece"
1602462511773,29.4688,139.3416,411.43,5.1,"Izu Islands, Japan region"
1602427281173,-28.5658,-112.0664,10.0,5.6,Easter Island region
1602363517114,-62.3293,-58.1804,10.0,5.0,South Shetland Islands
1602351480765,24.6661,93.4997,53.0,5.5,"33 km WNW of Moir?ng, India"
1602335697129,-28.5892,-112.3535,10.0,5.9,Easter Island region
1602301245233,-35.2523,53.9297,10.0,5.0,Southwest Indian Ridge
1602278545769,-17.2045,167.4386,27.0,5.4,"110 km WNW of Port-Vila, Vanuatu"
1602233751522,-27.8978,-66.405,163.02,5.0,"36 km SSW of Andalgalá, Argentina"
1602212240747,-6.0429,122.5845,10.0,5.4,"122 km S of Katabu, Indonesia"
1602198874684,-6.1814,146.3259,96.06,5.1,"52 km ENE of Kainantu, Papua New Guinea"
1602181492172,52.6525,152.6467,523.65,5.0,"293 km WNW of Ozernovskiy, Russia"
1602172730018,-5.904,150.8415,30.0,5.8,"87 km ESE of Kimbe, Papua New Guinea"
1602172106691,-58.9366,-25.5815,77.2,5.2,South Sandwich Islands region
1602170705662,-11.155,163.2713,15.46,5.0,"166 km ESE of Kirakira, Solomon Islands"
1602166959270,52.7723,-168.2804,32.0,5.7,"43 km ESE of Nikolski, Alaska"
1602153741438,71.629,-11.3098,10.0,5.3,Jan Mayen Island region
1602142532524,-6.0942,146.1738,106.0,6.3,"40 km ENE of Kainantu, Papua New Guinea"
1602095074620,18.174,-64.1781,10.0,5.3,"67 km ESE of Cruz Bay, U.S. Virgin Islands"
1601992602481,-62.3469,-58.2113,10.0,5.4,South Shetland Islands
1601979106626,-17.9962,-178.4717,633.0,5.9,"234 km E of Levuka, Fiji"
1601963690449,54.8508,-159.8514,31.0,5.9,"68 km SE of Sand Point, Alaska"
1601958297637,32.8688,-39.8406,10.0,5.4,northern Mid-Atlantic Ridge
1601941400846,34.1788,79.2141,10.0,5.0,"150 km E of Leh, India"
1601924640563,19.8649,145.3563,132.81,5.3,"Maug Islands region, Northern Mariana Islands"
1601924487434,-62.2485,-58.2462,10.0,5.1,South Shetland Islands
1601903014591,-15.6114,167.8046,121.01,5.0,"66 km NE of Norsup, Vanuatu"
1601887689605,-54.2479,-133.2006,10.0,5.2,Pacific-Antarctic Ridge
1601881921399,-21.8877,169.8848,10.0,5.2,"210 km E of Tadine, New Caledonia"
1601867267654,-9.6117,119.3493,60.5,5.0,"100 km W of Waingapu, Indonesia"
1601835413824,13.6082,120.7526,121.0,5.6,"14 km WSW of Tingloy, Philippines"
1601803048211,49.0687,155.2285,48.45,5.1,"190 km SSW of Severo-Kuril’sk, Russia"
